date,value
2026-08-13,-42782.693958312
2026-08-14,-31237.788479968
2026-08-15,4781.764883807
2026-08-16,-7995.239231574
2026-08-17,-16221.301593377
2026-08-18,-16392.400094541
2026-08-19,7220.007656702
2026-08-20,-101321.28162955
2026-08-21,-85887.451540311
2026-08-22,-11935.0339535
2026-08-23,13555.587506508
2026-08-24,-58727.934816972
2026-08-25,-11887.046142932
2026-08-26,-90935.467769218
2026-08-27,-52462.624141833
2026-08-28,-117717.86257565
2026-08-29,7225.223381372
2026-08-30,11031.101960492
2026-08-31,-19470.103449542
2026-09-01,-707.160606355
2026-09-02,36505.409266022
2026-09-03,5881.796943838
2026-09-04,-99750.102375928
2026-09-05,-28777.480803889
2026-09-06,-22153.450739214
2026-09-07,3535.791426595
2026-09-08,-16559.084709974
2026-09-09,3794.555832302
2026-09-10,-39359.745539947
2026-09-11,1732.827867299
2026-09-12,-40455.779442757
2026-09-13,-20760.423889787
2026-09-14,-73130.929845574
2026-09-15,-157467.75277932
2026-09-16,97285.06386223
2026-09-17,8771.843908002
2026-09-18,128581.378421742
2026-09-19,-6679.225915688
2026-09-20,-36454.165706971
2026-09-21,-49035.776592673
2026-09-22,-50918.34581543
